# n + 134Xe: Production of 131Te - Total
# Q-value    = 2.73160E+00 mass= 130.908522
# E-threshold= 0.00000E+00
# # energies =   121
#     E          xs
 1.00000E-11 1.15756E-18
 2.53000E-08 2.30135E-20
 1.00000E-06 3.66052E-21
 1.00000E-05 1.15756E-21
 1.00000E-04 3.66052E-22
 2.00000E-04 2.58838E-22
 3.00000E-04 2.11340E-22
 3.20000E-04 2.04629E-22
 6.00000E-04 9.34685E-22
 1.00000E-03 3.21183E-21
 1.60000E-03 1.00000E-20
 2.00000E-03 1.00000E-20
 3.00000E-03 1.00000E-20
 6.00000E-03 1.00000E-20
 1.00000E-02 1.00000E-20
 2.00000E-02 1.00000E-20
 3.00000E-02 1.00000E-20
 6.00000E-02 1.00000E-20
 1.00000E-01 1.00000E-20
 2.00000E-01 1.00000E-20
 3.00000E-01 1.00000E-20
 4.00000E-01 1.00000E-20
 5.00000E-01 1.00000E-20
 6.00000E-01 1.00000E-20
 7.00000E-01 1.00000E-20
 8.00000E-01 1.00000E-20
 9.00000E-01 1.00000E-20
 1.00000E+00 1.00000E-20
 1.20000E+00 1.00000E-20
 1.40000E+00 1.00000E-20
 1.60000E+00 1.00000E-20
 1.80000E+00 1.00000E-20
 2.00000E+00 3.67419E-12
 2.20000E+00 7.76599E-12
 2.40000E+00 3.84592E-11
 2.60000E+00 9.66527E-11
 2.80000E+00 1.96467E-10
 3.00000E+00 8.36237E-10
 3.20000E+00 1.81216E-09
 3.40000E+00 4.48133E-09
 3.60000E+00 8.94462E-09
 3.80000E+00 1.38866E-08
 4.00000E+00 3.06758E-08
 4.20000E+00 5.18411E-08
 4.40000E+00 8.93486E-08
 4.60000E+00 1.51761E-07
 4.80000E+00 2.27782E-07
 5.00000E+00 3.89536E-07
 5.20000E+00 6.18204E-07
 5.40000E+00 9.46787E-07
 5.60000E+00 1.45547E-06
 5.80000E+00 2.12247E-06
 6.00000E+00 3.15663E-06
 6.20000E+00 4.73379E-06
 6.40000E+00 6.77347E-06
 6.60000E+00 9.69566E-06
 6.80000E+00 1.36706E-05
 7.00000E+00 1.87623E-05
 7.20000E+00 2.74307E-05
 7.40000E+00 3.79448E-05
 7.60000E+00 5.23103E-05
 7.80000E+00 7.20475E-05
 8.00000E+00 9.42985E-05
 8.50000E+00 2.06334E-04
 9.00000E+00 4.54761E-04
 9.50000E+00 1.00964E-03
 1.00000E+01 2.21617E-03
 1.05000E+01 4.70119E-03
 1.10000E+01 9.50265E-03
 1.15000E+01 1.82203E-02
 1.20000E+01 3.30090E-02
 1.25000E+01 5.61942E-02
 1.30000E+01 9.03106E-02
 1.35000E+01 1.38355E-01
 1.40000E+01 2.03332E-01
 1.45000E+01 2.88546E-01
 1.50000E+01 3.97120E-01
 1.60000E+01 6.99855E-01
 1.70000E+01 1.14533E+00
 1.80000E+01 1.78498E+00
 1.90000E+01 2.74301E+00
 2.00000E+01 3.89358E+00
 2.10000E+01 4.92264E+00
 2.20000E+01 5.47430E+00
 2.30000E+01 5.61208E+00
 2.40000E+01 4.88269E+00
 2.50000E+01 4.27501E+00
 2.60000E+01 3.80151E+00
 2.70000E+01 3.40169E+00
 2.80000E+01 2.99330E+00
 2.90000E+01 2.69623E+00
 3.00000E+01 2.42564E+00
 3.20000E+01 1.96073E+00
 3.40000E+01 1.66995E+00
 3.60000E+01 1.60894E+00
 3.80000E+01 1.66717E+00
 4.00000E+01 1.93424E+00
 4.20000E+01 2.22216E+00
 4.40000E+01 2.42843E+00
 4.60000E+01 2.61749E+00
 4.80000E+01 2.73161E+00
 5.00000E+01 2.85080E+00
 5.20000E+01 2.99164E+00
 5.40000E+01 3.16464E+00
 5.60000E+01 3.30914E+00
 5.80000E+01 3.47687E+00
 6.00000E+01 3.61948E+00
 6.50000E+01 3.91175E+00
 7.00000E+01 4.02622E+00
 7.50000E+01 4.06766E+00
 8.00000E+01 3.91257E+00
 9.00000E+01 3.60256E+00
 1.00000E+02 3.29832E+00
 1.10000E+02 2.99574E+00
 1.20000E+02 2.72466E+00
 1.30000E+02 2.51976E+00
 1.40000E+02 2.32670E+00
 1.50000E+02 2.17410E+00
 1.60000E+02 2.04544E+00
 1.80000E+02 1.82176E+00
 2.00000E+02 1.65435E+00
