# n + 124Xe   : (n,pa)            Total
# Q-value    =-8.86218E-01
# E-threshold= 8.93433E-01
# # energies =   121
#     E          xs       gamma xs  xs/res.prod.xs
 3.60000E+01 1.93554E-01 1.10002E+00 9.99753E-01
 3.80000E+01 1.80735E-01 1.03956E+00 9.99620E-01
 4.00000E+01 1.62387E-01 9.44140E-01 9.99109E-01
 4.20000E+01 1.47462E-01 8.66428E-01 9.96059E-01
 4.40000E+01 1.33663E-01 7.95869E-01 9.82473E-01
 4.60000E+01 1.18441E-01 7.13198E-01 9.40713E-01
 4.80000E+01 1.06654E-01 6.48754E-01 8.54626E-01
 5.00000E+01 9.58635E-02 5.88177E-01 7.24516E-01
 5.20000E+01 8.46689E-02 5.21045E-01 5.68329E-01
 5.40000E+01 7.54957E-02 4.64299E-01 4.30849E-01
 5.60000E+01 6.65605E-02 4.07695E-01 3.19949E-01
 5.80000E+01 5.89479E-02 3.61232E-01 2.40435E-01
 6.00000E+01 5.17343E-02 3.16406E-01 1.87523E-01
 6.50000E+01 3.89392E-02 2.40703E-01 1.16279E-01
 7.00000E+01 3.02350E-02 1.89265E-01 8.39018E-02
 7.50000E+01 2.29911E-02 1.44889E-01 6.18094E-02
 8.00000E+01 1.80379E-02 1.13943E-01 4.58100E-02
 9.00000E+01 1.10308E-02 6.88819E-02 2.73518E-02
 1.00000E+02 7.17522E-03 4.38948E-02 1.76025E-02
 1.10000E+02 4.71132E-03 2.83488E-02 1.27631E-02
 1.20000E+02 3.35031E-03 1.98873E-02 9.67312E-03
 1.30000E+02 2.45702E-03 1.45021E-02 7.74909E-03
 1.40000E+02 1.89196E-03 1.10492E-02 6.43899E-03
 1.50000E+02 1.50930E-03 8.76269E-03 5.58339E-03
 1.60000E+02 1.21122E-03 7.00392E-03 4.87569E-03
 1.80000E+02 8.44521E-04 4.85054E-03 3.94572E-03
 2.00000E+02 6.21354E-04 3.56220E-03 3.30908E-03
