# n + 128Xe: Production of 125Te - Total
# Q-value    = 4.80909E+00 mass= 124.904429
# E-threshold= 0.00000E+00
# # energies =   121
#     E          xs
 1.00000E-11 4.24133E-07
 2.53000E-08 8.43222E-09
 1.00000E-06 1.34123E-09
 1.00000E-05 4.24133E-10
 5.00000E-05 1.89678E-10
 1.00000E-04 1.03943E-09
 2.00000E-04 5.69609E-09
 2.50000E-04 9.84942E-09
 3.00000E-04 8.47429E-09
 6.00000E-04 4.77688E-09
 1.00000E-03 3.14786E-09
 2.00000E-03 1.83879E-09
 3.00000E-03 1.38076E-09
 6.00000E-03 9.04032E-10
 1.00000E-02 6.94607E-10
 2.00000E-02 5.01472E-10
 3.00000E-02 4.15978E-10
 6.00000E-02 3.07669E-10
 1.00000E-01 2.62019E-10
 2.00000E-01 3.05075E-10
 3.00000E-01 1.12612E-09
 4.00000E-01 2.12996E-09
 5.00000E-01 2.31807E-09
 6.00000E-01 2.63850E-09
 7.00000E-01 3.44186E-09
 8.00000E-01 9.56890E-09
 9.00000E-01 1.75484E-08
 1.00000E+00 2.48671E-08
 1.20000E+00 3.93752E-08
 1.40000E+00 1.41182E-07
 1.60000E+00 2.67126E-07
 1.80000E+00 6.12166E-07
 2.00000E+00 1.39348E-06
 2.20000E+00 2.32654E-06
 2.40000E+00 5.06075E-06
 2.60000E+00 7.91193E-06
 2.80000E+00 1.30520E-05
 3.00000E+00 2.18621E-05
 3.20000E+00 3.16147E-05
 3.40000E+00 5.10776E-05
 3.60000E+00 7.41394E-05
 3.80000E+00 1.06299E-04
 4.00000E+00 1.54072E-04
 4.20000E+00 2.06717E-04
 4.40000E+00 2.87927E-04
 4.60000E+00 3.84709E-04
 4.80000E+00 5.04382E-04
 5.00000E+00 6.66747E-04
 5.20000E+00 8.47048E-04
 5.40000E+00 1.09422E-03
 5.60000E+00 1.39741E-03
 5.80000E+00 1.75508E-03
 6.00000E+00 2.22209E-03
 6.20000E+00 2.76017E-03
 6.40000E+00 3.48048E-03
 6.60000E+00 4.46048E-03
 6.80000E+00 5.62336E-03
 7.00000E+00 7.20620E-03
 7.20000E+00 9.11632E-03
 7.40000E+00 1.14655E-02
 7.60000E+00 1.48372E-02
 7.80000E+00 1.85171E-02
 8.00000E+00 2.30924E-02
 8.50000E+00 3.97316E-02
 9.00000E+00 6.64300E-02
 9.50000E+00 1.07920E-01
 1.00000E+01 1.72390E-01
 1.05000E+01 2.60932E-01
 1.10000E+01 3.80377E-01
 1.15000E+01 5.36648E-01
 1.20000E+01 7.33655E-01
 1.25000E+01 9.76939E-01
 1.30000E+01 1.26174E+00
 1.35000E+01 1.60554E+00
 1.40000E+01 2.00442E+00
 1.45000E+01 2.45692E+00
 1.50000E+01 2.96241E+00
 1.60000E+01 4.17050E+00
 1.70000E+01 5.65795E+00
 1.80000E+01 7.54361E+00
 1.90000E+01 9.73524E+00
 2.00000E+01 1.08102E+01
 2.10000E+01 1.15919E+01
 2.20000E+01 1.09203E+01
 2.30000E+01 9.54003E+00
 2.40000E+01 8.73812E+00
 2.50000E+01 8.07639E+00
 2.60000E+01 7.41701E+00
 2.70000E+01 6.81496E+00
 2.80000E+01 6.30275E+00
 2.90000E+01 5.78370E+00
 3.00000E+01 5.31909E+00
 3.20000E+01 4.78820E+00
 3.40000E+01 4.69883E+00
 3.60000E+01 4.98569E+00
 3.80000E+01 5.64986E+00
 4.00000E+01 6.44537E+00
 4.20000E+01 7.21882E+00
 4.40000E+01 7.85573E+00
 4.60000E+01 8.44405E+00
 4.80000E+01 8.93202E+00
 5.00000E+01 9.30047E+00
 5.20000E+01 9.64498E+00
 5.40000E+01 9.98308E+00
 5.60000E+01 1.01857E+01
 5.80000E+01 1.02695E+01
 6.00000E+01 1.03146E+01
 6.50000E+01 1.02724E+01
 7.00000E+01 9.99426E+00
 7.50000E+01 9.59864E+00
 8.00000E+01 9.07583E+00
 9.00000E+01 7.76194E+00
 1.00000E+02 6.66428E+00
 1.10000E+02 5.82572E+00
 1.20000E+02 5.15535E+00
 1.30000E+02 4.58547E+00
 1.40000E+02 4.18848E+00
 1.50000E+02 3.78647E+00
 1.60000E+02 3.51556E+00
 1.80000E+02 2.99770E+00
 2.00000E+02 2.65604E+00
