#rp054129.L02         Number of runs:     20
# E(MeV)      xs(mb)     xslow(mb)      xsupp(mb)
 1.00000E-11 3.32488E+03 2.47060E+03 4.17915E+03
 2.53000E-08 6.61021E+01 4.91182E+01 8.30860E+01
 1.00000E-06 1.05142E+01 7.81271E+00 1.32156E+01
 1.00000E-05 3.32488E+00 2.47060E+00 4.17915E+00
 5.00000E-05 1.48693E+00 1.10489E+00 1.86897E+00
 1.00000E-04 7.36533E+00 4.90918E+00 9.82148E+00
 2.00000E-04 3.69928E+01 2.19201E+01 5.20655E+01
 2.50000E-04 6.23862E+01 3.55778E+01 8.91945E+01
 3.00000E-04 5.40915E+01 3.11164E+01 7.70666E+01
 6.00000E-04 3.26834E+01 1.99047E+01 4.54621E+01
 1.00000E-03 2.40586E+01 1.57312E+01 3.23861E+01
 2.00000E-03 1.80359E+01 1.31592E+01 2.29127E+01
 3.00000E-03 1.62610E+01 1.23381E+01 2.01838E+01
 6.00000E-03 1.43649E+01 1.10267E+01 1.77030E+01
 1.00000E-02 1.29984E+01 9.96609E+00 1.60307E+01
 2.00000E-02 1.07848E+01 8.27014E+00 1.32994E+01
 3.00000E-02 9.56188E+00 7.37179E+00 1.17520E+01
 6.00000E-02 8.49736E+00 6.63837E+00 1.03563E+01
 1.00000E-01 8.96614E+00 6.82027E+00 1.11120E+01
 2.00000E-01 1.10299E+01 8.65866E+00 1.34011E+01
 3.00000E-01 1.31477E+01 1.09713E+01 1.53242E+01
 4.00000E-01 1.54761E+01 1.33760E+01 1.75762E+01
 5.00000E-01 1.04942E+01 8.56845E+00 1.24199E+01
 6.00000E-01 9.74890E+00 7.72728E+00 1.17705E+01
 7.00000E-01 1.02860E+01 8.07825E+00 1.24938E+01
 8.00000E-01 1.11804E+01 8.74370E+00 1.36171E+01
 9.00000E-01 1.22761E+01 9.58088E+00 1.49714E+01
 1.00000E+00 1.26844E+01 9.87120E+00 1.54976E+01
 1.20000E+00 9.87557E+00 7.12815E+00 1.26230E+01
 1.40000E+00 1.06807E+01 7.70358E+00 1.36578E+01
 1.60000E+00 1.12343E+01 8.10285E+00 1.43658E+01
 1.80000E+00 1.15885E+01 8.33115E+00 1.48458E+01
 2.00000E+00 1.30909E+01 9.45573E+00 1.67261E+01
 2.20000E+00 1.30876E+01 9.33426E+00 1.68408E+01
 2.40000E+00 1.27754E+01 8.87924E+00 1.66715E+01
 2.60000E+00 1.13615E+01 7.52359E+00 1.51993E+01
 2.80000E+00 1.05112E+01 6.73652E+00 1.42858E+01
 3.00000E+00 9.74917E+00 6.11188E+00 1.33865E+01
 3.20000E+00 9.05941E+00 5.60752E+00 1.25113E+01
 3.40000E+00 8.30567E+00 5.09037E+00 1.15210E+01
 3.60000E+00 7.50446E+00 4.58726E+00 1.04217E+01
 3.80000E+00 6.78261E+00 4.15129E+00 9.41394E+00
 4.00000E+00 6.03626E+00 3.70427E+00 8.36824E+00
 4.20000E+00 5.32911E+00 3.28936E+00 7.36885E+00
 4.40000E+00 4.74069E+00 2.95261E+00 6.52877E+00
 4.60000E+00 4.15965E+00 2.60168E+00 5.71762E+00
 4.80000E+00 3.65404E+00 2.29952E+00 5.00857E+00
 5.00000E+00 3.26312E+00 2.08311E+00 4.44314E+00
 5.20000E+00 2.89687E+00 1.85905E+00 3.93469E+00
 5.40000E+00 2.60081E+00 1.68765E+00 3.51397E+00
 5.60000E+00 2.33728E+00 1.52769E+00 3.14687E+00
 5.80000E+00 2.11378E+00 1.38568E+00 2.84188E+00
 6.00000E+00 1.94927E+00 1.28902E+00 2.60951E+00
 6.20000E+00 1.79347E+00 1.18721E+00 2.39974E+00
 6.40000E+00 1.66639E+00 1.10268E+00 2.23011E+00
 6.60000E+00 1.55902E+00 1.02618E+00 2.09186E+00
 6.80000E+00 1.44367E+00 9.41601E-01 1.94573E+00
 7.00000E+00 1.39096E+00 8.97258E-01 1.88467E+00
 7.20000E+00 1.31952E+00 8.36998E-01 1.80204E+00
 7.40000E+00 1.26518E+00 7.93752E-01 1.73660E+00
 7.60000E+00 1.22016E+00 7.44857E-01 1.69546E+00
 7.80000E+00 1.15895E+00 6.91805E-01 1.62609E+00
 8.00000E+00 1.14758E+00 6.75669E-01 1.61948E+00
 8.50000E+00 1.08203E+00 6.08590E-01 1.55547E+00
 9.00000E+00 1.03557E+00 5.60990E-01 1.51015E+00
 9.50000E+00 1.00572E+00 5.27396E-01 1.48404E+00
 1.00000E+01 9.83351E-01 5.01760E-01 1.46494E+00
 1.05000E+01 9.69713E-01 4.81430E-01 1.45800E+00
 1.10000E+01 9.56904E-01 4.63515E-01 1.45029E+00
 1.15000E+01 9.44919E-01 4.46991E-01 1.44285E+00
 1.20000E+01 9.32052E-01 4.31405E-01 1.43270E+00
 1.25000E+01 9.15509E-01 4.17878E-01 1.41314E+00
 1.30000E+01 8.94806E-01 4.06087E-01 1.38353E+00
 1.35000E+01 8.68341E-01 3.95320E-01 1.34136E+00
 1.40000E+01 8.31807E-01 3.82667E-01 1.28095E+00
 1.45000E+01 7.96682E-01 3.71145E-01 1.22222E+00
 1.50000E+01 7.61349E-01 3.58458E-01 1.16424E+00
 1.60000E+01 6.98023E-01 3.32733E-01 1.06331E+00
 1.70000E+01 6.42583E-01 3.02866E-01 9.82300E-01
 1.80000E+01 6.00370E-01 2.70058E-01 9.30682E-01
 1.90000E+01 5.63455E-01 2.31041E-01 8.95869E-01
 2.00000E+01 5.38093E-01 1.93684E-01 8.82502E-01
 2.10000E+01 5.02311E-01 1.57409E-01 8.47213E-01
 2.20000E+01 4.71419E-01 1.30071E-01 8.12768E-01
 2.30000E+01 4.44882E-01 1.11496E-01 7.78268E-01
 2.40000E+01 4.19990E-01 9.76512E-02 7.42329E-01
 2.50000E+01 3.98403E-01 8.75695E-02 7.09236E-01
 2.60000E+01 3.80635E-01 8.18713E-02 6.79399E-01
 2.70000E+01 3.63760E-01 7.74957E-02 6.50024E-01
 2.80000E+01 3.49047E-01 7.42417E-02 6.23853E-01
 2.90000E+01 3.36670E-01 7.27533E-02 6.00587E-01
 3.00000E+01 3.25361E-01 7.02126E-02 5.80509E-01
 3.20000E+01 3.01575E-01 6.50796E-02 5.38070E-01
 3.40000E+01 2.81307E-01 6.07058E-02 5.01908E-01
 3.60000E+01 2.61846E-01 5.65061E-02 4.67186E-01
 3.80000E+01 2.50412E-01 5.40386E-02 4.46785E-01
 4.00000E+01 2.39782E-01 5.17447E-02 4.27819E-01
 4.20000E+01 2.29328E-01 4.94887E-02 4.09167E-01
 4.40000E+01 2.22759E-01 4.80713E-02 3.97447E-01
 4.60000E+01 2.15488E-01 4.65021E-02 3.84474E-01
 4.80000E+01 2.05888E-01 4.44306E-02 3.67346E-01
 5.00000E+01 1.98347E-01 4.28030E-02 3.53891E-01
 5.20000E+01 1.94285E-01 4.19266E-02 3.46644E-01
 5.40000E+01 1.91393E-01 4.13025E-02 3.41484E-01
 5.60000E+01 1.86148E-01 4.01706E-02 3.32126E-01
 5.80000E+01 1.79075E-01 3.86441E-02 3.19505E-01
 6.00000E+01 1.70315E-01 3.67538E-02 3.03876E-01
 6.50000E+01 1.56810E-01 3.38395E-02 2.79781E-01
 7.00000E+01 1.51635E-01 3.27228E-02 2.70548E-01
 7.50000E+01 1.46548E-01 3.16249E-02 2.61471E-01
 8.00000E+01 1.29727E-01 2.79949E-02 2.31459E-01
 9.00000E+01 9.50871E-02 2.05197E-02 1.69655E-01
 1.00000E+02 8.87906E-02 1.91609E-02 1.58420E-01
 1.10000E+02 8.26475E-02 1.78353E-02 1.47460E-01
 1.20000E+02 7.25815E-02 1.56630E-02 1.29500E-01
 1.30000E+02 6.10351E-02 1.31713E-02 1.08899E-01
 1.40000E+02 4.85497E-02 1.04770E-02 8.66224E-02
 1.50000E+02 3.68069E-02 7.94291E-03 6.56710E-02
 1.60000E+02 2.90703E-02 6.27335E-03 5.18673E-02
 1.80000E+02 2.37471E-02 5.12459E-03 4.23695E-02
 2.00000E+02 1.70802E-02 3.68588E-03 3.04745E-02
