#rp054131.L02         Number of runs:     60
# E(MeV)      xs(mb)     xslow(mb)      xsupp(mb)
 3.80000E+01 4.87275E+01 3.07368E+01 6.67182E+01
 4.00000E+01 4.54042E+01 2.86405E+01 6.21678E+01
 4.20000E+01 4.21790E+01 2.66061E+01 5.77519E+01
 4.40000E+01 3.96269E+01 2.49963E+01 5.42576E+01
 4.60000E+01 3.85794E+01 2.43355E+01 5.28233E+01
 4.80000E+01 3.88128E+01 2.44827E+01 5.31428E+01
 5.00000E+01 3.90392E+01 2.46255E+01 5.34528E+01
 5.20000E+01 3.74033E+01 2.35936E+01 5.12130E+01
 5.40000E+01 3.53782E+01 2.23162E+01 4.84402E+01
 5.60000E+01 3.35174E+01 2.11425E+01 4.58924E+01
 5.80000E+01 3.19312E+01 2.01419E+01 4.37206E+01
 6.00000E+01 3.03799E+01 1.91634E+01 4.15965E+01
 6.50000E+01 2.69822E+01 1.70201E+01 3.69443E+01
 7.00000E+01 2.40138E+01 1.51476E+01 3.28799E+01
 7.50000E+01 2.16186E+01 1.36368E+01 2.96004E+01
 8.00000E+01 1.93645E+01 1.22150E+01 2.65141E+01
 9.00000E+01 1.57705E+01 9.94785E+00 2.15931E+01
 1.00000E+02 1.30601E+01 8.23819E+00 1.78820E+01
 1.10000E+02 1.09107E+01 6.88235E+00 1.49390E+01
 1.20000E+02 9.20685E+00 5.80759E+00 1.26061E+01
 1.30000E+02 7.84571E+00 4.94900E+00 1.07424E+01
 1.40000E+02 6.75711E+00 4.26231E+00 9.25190E+00
 1.50000E+02 5.87955E+00 3.70876E+00 8.05034E+00
 1.60000E+02 5.18454E+00 3.27035E+00 7.09872E+00
 1.80000E+02 4.12841E+00 2.60416E+00 5.65266E+00
 2.00000E+02 3.37209E+00 2.12708E+00 4.61710E+00
