#ZVView-data-copy:  11-Apr-2019 20:29:52
#=======================================
#
#name:   ENDF/B-VIII.0: NI-60(N,P)CO-60
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  48
#data...
#            X            Y
#          MeV        barns
       2.07476            0
           2.4   5.2502e-16
           2.5  1.99667e-13
           2.6  8.33725e-12
           2.7  1.65332e-10
           2.8   1.84433e-9
           2.9   1.33212e-8
             3   6.94004e-8
           3.1   2.82283e-7
           3.2   9.07947e-7
           3.3   2.40763e-6
           3.4   5.76291e-6
           3.5   1.20972e-5
           3.6   2.46779e-5
           3.8   8.27475e-5
             4   0.00021865
           4.5   0.00140886
             5    0.0054122
           5.5     0.013869
             6    0.0257367
           6.5    0.0381724
             7    0.0500013
           7.5    0.0623646
             8    0.0731776
             9    0.0934669
           9.5     0.104243
            10     0.115984
            11     0.141047
          11.5     0.153077
            12     0.163692
          12.5     0.170368
            13     0.173643
          13.5     0.170251
            14     0.159972
          14.5     0.145635
            15     0.129845
          15.5     0.114566
            16     0.101401
          16.5    0.0906515
            17    0.0813388
          17.5    0.0739978
            18    0.0683999
          18.5    0.0639099
            19    0.0605833
          19.5    0.0579268
            20    0.0557032
            20            0
           150            0
//
#-------------------------------------------------------------------------------
