#ZVView-data-copy:   1-Aug-2018 22:16:37
#=======================================
#
#name:   ENDF/B-VIII.0: XE-129(N,N`)XE-129-L9
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  105
#data...
#            X            Y
#          MeV        barns
      0.629387            0
      0.670607    0.0460524
      0.692533    0.0588147
           0.7    0.0630688
      0.718534    0.0704541
       0.74726    0.0815319
      0.777134    0.0926098
           0.8    0.0986511
      0.829641     0.105284
      0.874792     0.113521
      0.911376     0.118688
      0.953402     0.121476
      0.996752     0.123207
             1     0.123431
          1.25     0.124743
       1.43316     0.118024
           1.5     0.115784
       1.62019      0.10825
          1.75     0.100716
       1.87083    0.0918505
       2.05133    0.0794885
       2.15115    0.0729325
       2.28641    0.0645189
       2.40077    0.0577845
       2.50088     0.052148
       2.61728    0.0458711
       2.74801    0.0391457
       2.87124     0.033093
       2.96728    0.0285534
             3    0.0270402
       3.15916    0.0233965
       3.29884    0.0203469
       3.45126    0.0171629
       3.58095    0.0145627
       3.72532    0.0117768
       3.84309   0.00958288
         3.947   0.00770238
             4   0.00676213
       4.16364   0.00581434
       4.30574   0.00502108
        4.4697   0.00413767
       4.59675   0.00347512
       4.73156   0.00279186
       4.82574     0.002326
       4.94122   0.00176698
             5   0.00148746
       5.16652   0.00127354
       5.31014    0.0010945
       5.47479  0.000895118
       5.60162  0.000745579
       5.74076  0.000585359
       5.86895  0.000441161
       5.96697  0.000333012
             6  0.000296963
       6.22074  0.000240505
       6.40702  0.000194397
       6.55038  0.000159817
       6.70754  0.000122766
       6.85221   8.94205e-5
       6.96276   6.44113e-5
             7   5.60749e-5
       7.23762   4.44324e-5
       7.42112   3.57005e-5
       7.61523   2.66958e-5
       7.75047   2.05562e-5
       7.87425   1.50305e-5
             8    9.5049e-6
       8.23907   7.47619e-6
       8.42305   5.95465e-6
       8.61708   4.38557e-6
       8.75193   3.31574e-6
        8.8751    2.3529e-6
             9   1.39005e-6
       9.24021   1.09729e-6
       9.49465   7.95376e-7
       9.67213   5.89527e-7
        9.8347   4.04263e-7
       9.95842   2.65315e-7
            10   2.18999e-7
        10.333   1.81136e-7
       10.6203   1.49446e-7
       10.9287   1.16361e-7
       11.1872   8.93411e-8
       11.3851   6.90764e-8
        11.601   4.73642e-8
       11.7739   3.02659e-8
       11.8864   1.92741e-8
            12   8.28234e-9
        12.337   6.88053e-9
       12.6264   5.70727e-9
       12.9566   4.40069e-9
       13.2099   3.42075e-9
       13.4868   2.37082e-9
        13.709     1.544e-9
       13.8537   1.01247e-9
            14  4.80941e-10
        14.336  3.61809e-10
       14.5697  2.80583e-10
       14.7833  2.07479e-10
            15  1.34376e-10
       15.3365  1.01982e-10
       15.4296  9.31468e-11
            16  4.01378e-11
            18  4.03829e-12
            20  4.13197e-13
//
#-------------------------------------------------------------------------------
