#rp054129.L02         Number of runs:     60
# E(MeV)      xs(mb)     xslow(mb)      xsupp(mb)
 9.00000E+00 6.48058E+02 5.92805E+02 7.03311E+02
 9.50000E+00 5.88043E+02 5.25634E+02 6.50452E+02
 1.00000E+01 5.20569E+02 4.50795E+02 5.90344E+02
 1.05000E+01 4.53771E+02 3.79886E+02 5.27657E+02
 1.10000E+01 3.91516E+02 3.17598E+02 4.65435E+02
 1.15000E+01 3.36646E+02 2.65620E+02 4.07672E+02
 1.20000E+01 2.90125E+02 2.23181E+02 3.57068E+02
 1.25000E+01 2.51924E+02 1.89109E+02 3.14740E+02
 1.30000E+01 2.21288E+02 1.62060E+02 2.80516E+02
 1.35000E+01 1.96784E+02 1.40512E+02 2.53055E+02
 1.40000E+01 1.77468E+02 1.23738E+02 2.31198E+02
 1.45000E+01 1.62854E+02 1.11176E+02 2.14532E+02
 1.50000E+01 1.51476E+02 1.01595E+02 2.01357E+02
 1.60000E+01 1.35835E+02 8.88354E+01 1.82835E+02
 1.70000E+01 1.26097E+02 8.14758E+01 1.70718E+02
 1.80000E+01 1.19718E+02 7.69252E+01 1.62511E+02
 1.90000E+01 1.14998E+02 7.37453E+01 1.56251E+02
 2.00000E+01 1.12367E+02 7.22215E+01 1.52513E+02
 2.10000E+01 1.08938E+02 7.02085E+01 1.47667E+02
 2.20000E+01 1.05991E+02 6.85863E+01 1.43395E+02
 2.30000E+01 1.02584E+02 6.67798E+01 1.38388E+02
 2.40000E+01 9.97560E+01 6.54577E+01 1.34054E+02
 2.50000E+01 9.70826E+01 6.43376E+01 1.29828E+02
 2.60000E+01 9.47373E+01 6.34105E+01 1.26064E+02
 2.70000E+01 9.26223E+01 6.25956E+01 1.22649E+02
 2.80000E+01 9.07079E+01 6.18276E+01 1.19588E+02
 2.90000E+01 8.86092E+01 6.08576E+01 1.16361E+02
 3.00000E+01 8.63633E+01 5.96437E+01 1.13083E+02
 3.20000E+01 8.06132E+01 5.56726E+01 1.05554E+02
 3.40000E+01 7.48851E+01 5.17167E+01 9.80535E+01
 3.60000E+01 6.95990E+01 4.80660E+01 9.11319E+01
 3.80000E+01 6.54589E+01 4.52068E+01 8.57109E+01
 4.00000E+01 6.09597E+01 4.20996E+01 7.98198E+01
 4.20000E+01 5.53257E+01 3.82087E+01 7.24426E+01
 4.40000E+01 5.22480E+01 3.60832E+01 6.84128E+01
 4.60000E+01 4.98717E+01 3.44421E+01 6.53014E+01
 4.80000E+01 4.87417E+01 3.36617E+01 6.38217E+01
 5.00000E+01 4.78594E+01 3.30524E+01 6.26664E+01
 5.20000E+01 4.55203E+01 3.14370E+01 5.96037E+01
 5.40000E+01 4.30744E+01 2.97478E+01 5.64010E+01
 5.60000E+01 4.07328E+01 2.81306E+01 5.33349E+01
 5.80000E+01 3.85936E+01 2.66533E+01 5.05340E+01
 6.00000E+01 3.66590E+01 2.53173E+01 4.80008E+01
 6.50000E+01 3.33359E+01 2.30222E+01 4.36495E+01
 7.00000E+01 2.86741E+01 1.98028E+01 3.75455E+01
 7.50000E+01 2.67819E+01 1.84959E+01 3.50678E+01
 8.00000E+01 2.30796E+01 1.59391E+01 3.02202E+01
 9.00000E+01 1.86961E+01 1.29118E+01 2.44804E+01
 1.00000E+02 1.53214E+01 1.05812E+01 2.00617E+01
 1.10000E+02 1.27482E+01 8.80408E+00 1.66923E+01
 1.20000E+02 1.05928E+01 7.31554E+00 1.38701E+01
 1.30000E+02 8.91785E+00 6.15879E+00 1.16769E+01
 1.40000E+02 7.59531E+00 5.24542E+00 9.94519E+00
 1.50000E+02 6.51869E+00 4.50190E+00 8.53549E+00
 1.60000E+02 5.70678E+00 3.94118E+00 7.47238E+00
 1.80000E+02 4.44315E+00 3.06850E+00 5.81780E+00
 2.00000E+02 3.61818E+00 2.49877E+00 4.73759E+00
