#ZVView-data-copy:  31-Jul-2018 05:01:26
#=======================================
#
#name:   TENDL-2017: XE-125(N,NON)
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  5607
#data...
#            X            Y
#          MeV        barns
         1e-11      2112.97
   1.10304e-11      2011.87
   1.21669e-11      1915.61
   1.34206e-11      1823.96
   1.48034e-11      1736.69
   1.63287e-11       1653.6
   1.80111e-11      1574.49
   1.98669e-11      1499.16
   2.19139e-11      1427.43
   2.41719e-11      1359.14
   2.66625e-11      1294.12
   2.94097e-11      1232.21
     3.244e-11      1173.26
   3.57825e-11      1117.14
   3.94694e-11       1063.7
   4.35362e-11      1012.82
   4.80221e-11      964.374
   5.29701e-11      918.247
    5.8428e-11      874.329
   6.44483e-11      832.514
   7.10888e-11        792.7
   7.84136e-11      754.793
   8.64931e-11      718.701
   8.77133e-11      713.996
   9.54051e-11      684.337
    9.8116e-11      675.314
   1.05235e-10      651.619
   1.09752e-10      638.641
   1.16078e-10      620.468
   1.22769e-10      603.877
   1.28039e-10      590.809
   1.37329e-10      570.923
   1.41231e-10       562.57
   1.53616e-10      539.689
   1.55784e-10      535.685
   1.71835e-10      510.088
    1.8954e-10      485.717
   1.92215e-10       482.54
    2.0907e-10      462.515
   2.18044e-10      453.312
   2.30612e-10      440.424
   2.47345e-10      425.614
   2.54374e-10      419.393
   2.80584e-10      399.371
   3.09494e-10      380.309
   3.18288e-10      375.304
   3.41383e-10      362.161
   3.66154e-10      349.994
   3.76558e-10      344.884
   4.15358e-10      328.437
   4.21218e-10      326.293
   4.58155e-10      312.779
   4.91398e-10      302.283
   5.05362e-10      297.874
   5.57433e-10      283.685
   5.73273e-10       279.96
   6.14869e-10      270.179
   6.78223e-10      257.322
   7.48105e-10      245.084
   8.13708e-10       235.17
   8.25188e-10      233.435
   9.10213e-10      222.348
   9.90031e-10      213.367
      1.004e-9      211.795
    1.10745e-9      201.752
    1.22155e-9      192.194
    1.34742e-9      183.098
    1.48625e-9      174.443
    1.55005e-9      171.012
    1.63939e-9      166.208
    1.80831e-9      158.372
    1.99463e-9      150.917
    2.02277e-9      149.946
    2.20016e-9      143.826
    2.42685e-9       137.08
    2.67691e-9      130.664
    2.75297e-9      128.982
    2.95273e-9      124.563
    3.25697e-9      118.762
    3.59256e-9      113.247
    3.96272e-9      108.005
    4.37103e-9      103.023
    4.82141e-9      98.2899
    5.31819e-9      93.7944
    5.86616e-9      89.5261
    6.11796e-9      87.8475
    6.47059e-9      85.4969
    6.51624e-9      85.1926
     7.1373e-9      81.6697
      7.238e-9      81.0985
    7.87271e-9      78.0358
     8.0401e-9      77.2281
    8.68389e-9      74.5861
    8.93064e-9      73.5734
    9.57865e-9      71.3127
    9.92032e-9      70.1207
    1.05656e-8      68.2085
    1.07147e-8      67.7668
    1.10191e-8      66.8645
    1.16543e-8       65.268
    1.22402e-8      63.7949
    1.28551e-8      62.4856
     1.3596e-8      60.9078
    1.41796e-8      59.8557
    1.51027e-8      58.1917
    1.56406e-8      57.3713
    1.67755e-8      55.6405
    1.72522e-8      55.0263
    1.86345e-8      53.2453
    1.90298e-8      52.8162
    2.06986e-8      51.0047
    2.09906e-8      50.7385
    2.29923e-8      48.9136
    2.31534e-8      48.7895
    2.34801e-8      48.5378
    2.51838e-8      47.2251
    2.52419e-8      47.1803
       2.53e-8       47.139
    2.81037e-8       45.327
    3.12166e-8      43.6561
     3.4433e-8      42.2389
    3.49188e-8      42.0249
    3.79809e-8      40.9361
    3.90601e-8      40.5524
    4.18943e-8      39.7518
    4.36926e-8      39.2439
     4.6211e-8      38.6868
    4.88745e-8      38.0977
    5.09724e-8      37.7422
     5.4671e-8      37.1154
    5.62245e-8      36.9229
    6.11549e-8      36.3119
    6.20177e-8      36.2396
    6.84078e-8       35.704
    7.54563e-8      35.3638
    7.65208e-8      35.3125
    8.38182e-8      35.1887
    8.50007e-8      35.1687
    8.58565e-8      35.1676
    9.24546e-8      35.2651
     9.5371e-8      35.3082
    9.98577e-8      35.4968
    1.02695e-7      35.6161
    1.05198e-7      35.7213
    1.13277e-7      36.2676
    1.16037e-7      36.4542
    1.24948e-7      37.2856
    1.26212e-7      37.4036
     1.3728e-7      38.7248
    1.39767e-7      39.0892
    1.47241e-7      40.1845
    1.53096e-7      41.2067
    1.56819e-7      41.8567
    1.67027e-7      43.9553
    1.70053e-7      44.6824
    1.76655e-7      46.2689
    1.85528e-7      48.7256
    1.87575e-7      49.3696
    1.93492e-7      51.2314
    2.01797e-7       54.192
    2.05463e-7      55.6649
    2.08995e-7      57.0844
     2.1644e-7      60.4399
     2.2416e-7       64.368
     2.3053e-7      68.0026
     2.3144e-7      68.5815
     2.3708e-7       72.166
    2.43817e-7      76.9625
    2.48989e-7       81.048
    2.51736e-7      83.4312
    2.54283e-7      85.6408
    2.59676e-7      90.8011
    2.65198e-7      96.6518
    2.70823e-7      103.286
    2.76581e-7       110.88
    2.80483e-7      116.549
    2.83578e-7      121.421
     2.8444e-7      122.779
    2.88453e-7      129.643
    2.92523e-7      137.224
     2.9665e-7      145.616
    3.00835e-7      154.928
    3.05079e-7      165.285
    3.09383e-7      176.826
    3.13748e-7      189.708
     3.1721e-7      200.964
    3.18175e-7      204.102
    3.22663e-7      220.191
    3.27216e-7      238.165
    3.31832e-7        258.2
    3.36514e-7      280.444
    3.41261e-7      304.982
    3.42609e-7      312.487
    3.46076e-7      331.783
    3.50958e-7      360.646
    3.66023e-7      453.451
    3.71187e-7      482.626
    3.75105e-7      502.186
     3.7906e-7      518.815
    3.83071e-7      531.738
    3.85764e-7       537.87
    3.88476e-7      541.803
    3.91609e-7       543.42
    3.94132e-7      541.994
    3.95112e-7       541.44
    3.97899e-7      537.039
    4.00687e-7      530.231
    4.03513e-7      521.019
    4.07773e-7      503.206
    4.12072e-7      481.217
    4.16432e-7      455.821
    4.23781e-7      408.867
    4.34308e-7      340.182
    4.34743e-7      337.493
    4.38898e-7      311.813
    4.43531e-7      284.856
    4.48207e-7      259.612
     4.5295e-7      236.143
    4.56134e-7      221.595
     4.5934e-7      207.902
    4.62569e-7      195.051
    4.65821e-7      183.016
    4.69095e-7      171.767
    4.72393e-7      161.267
    4.75713e-7      151.477
    4.76202e-7      150.146
    4.79057e-7      142.357
    4.82425e-7      133.864
    4.85816e-7      125.957
    4.89231e-7      118.598
     4.9267e-7      111.747
    4.96133e-7      105.369
    4.99621e-7       99.428
    5.03133e-7      93.8924
    5.06669e-7       88.732
    5.10231e-7      83.9185
    5.13818e-7      79.4259
    5.17429e-7      75.2299
    5.22885e-7      69.4536
    5.28418e-7      64.2077
    5.34003e-7      59.4583
     5.3964e-7      55.1505
     5.4533e-7      51.2364
      5.511e-7      47.6573
