#ZVView-data-copy:  31-Jul-2018 16:26:12
#=======================================
#
#name:   JENDL-4.0: XE-136(N,G)XE-137
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  9078
#data...
#            X            Y
#          MeV        barns
         1e-11      6.53912
   1.10304e-11      6.22622
   1.21669e-11      5.92829
   1.34206e-11      5.64461
   1.48034e-11      5.37451
   1.63287e-11      5.11734
   1.80111e-11      4.87247
   1.98669e-11      4.63932
   2.19139e-11      4.41732
   2.41719e-11      4.20595
   2.66625e-11      4.00469
   2.94097e-11      3.81306
     3.244e-11       3.6306
   3.57825e-11      3.45688
   3.94694e-11      3.29146
   4.35362e-11      3.13396
   4.80221e-11        2.984
   5.29701e-11      2.84121
    5.8428e-11      2.70526
   6.44483e-11      2.57581
   7.10888e-11      2.45255
   7.84136e-11       2.3352
   8.64931e-11      2.22346
   9.54051e-11      2.11706
   1.05235e-10      2.01576
   1.16078e-10       1.9193
   1.28039e-10      1.82746
   1.41231e-10      1.74002
   1.55784e-10      1.65675
   1.71835e-10      1.57748
    1.8954e-10      1.50199
    2.0907e-10      1.43012
   2.30612e-10      1.36169
   2.54374e-10      1.29653
   2.80584e-10      1.23449
   3.09494e-10      1.17542
   3.41383e-10      1.11917
   3.76558e-10      1.06562
   4.15358e-10      1.01463
   4.58155e-10     0.966079
   5.05362e-10     0.919851
   5.57433e-10     0.875835
   6.14869e-10     0.833926
   6.78223e-10     0.794021
   7.48105e-10     0.756027
   8.25188e-10      0.71985
   9.10213e-10     0.685404
      1.004e-9     0.652607
    1.10745e-9     0.621379
    1.22155e-9     0.591645
    1.34742e-9     0.563334
    1.48625e-9     0.536378
    1.63939e-9     0.510712
    1.80831e-9     0.486274
    1.99463e-9     0.463005
    2.20016e-9     0.440849
    2.42685e-9     0.419754
    2.67691e-9     0.399668
    2.95273e-9     0.380544
    3.25697e-9     0.362334
    3.59256e-9     0.344996
    3.96272e-9     0.328488
    4.37103e-9     0.312771
    4.82141e-9     0.297807
    5.31819e-9     0.283562
    5.86616e-9     0.270002
    6.47059e-9     0.257094
     7.1373e-9     0.244808
    7.87271e-9     0.233109
    8.68389e-9     0.221966
    9.57865e-9     0.211349
    1.05656e-8     0.201233
    1.16543e-8     0.191599
    1.28551e-8     0.182428
    1.41796e-8     0.173701
    1.56406e-8     0.165396
    1.72522e-8     0.157488
    1.90298e-8     0.149951
    2.09906e-8      0.14277
    2.31534e-8     0.135932
    2.52419e-8     0.130188
       2.53e-8     0.130038
    2.79068e-8     0.123826
    3.07823e-8      0.11791
     3.3954e-8     0.112267
    3.74525e-8     0.106886
    4.13115e-8     0.101763
    4.55681e-8    0.0968865
    5.02633e-8    0.0922447
    5.54423e-8    0.0878283
    6.11549e-8    0.0836333
    6.74561e-8    0.0796406
    7.44066e-8    0.0758261
    8.20732e-8     0.072191
    9.05297e-8    0.0687309
    9.98577e-8    0.0654371
    1.10147e-7    0.0623021
    1.21496e-7    0.0593257
     1.3496e-7    0.0562977
    1.48866e-7    0.0535981
    1.64204e-7    0.0510275
    1.81123e-7    0.0485808
    1.99786e-7    0.0462516
    2.20371e-7    0.0440344
    2.43077e-7    0.0419289
    2.70002e-7    0.0397898
    2.97822e-7    0.0378798
    3.28508e-7    0.0360621
    3.62357e-7    0.0343315
    3.99693e-7     0.032684
    4.40876e-7    0.0311158
     4.8292e-7    0.0297397
    5.32679e-7    0.0283113
    5.87564e-7    0.0269511
    6.48105e-7    0.0256555
    7.14884e-7    0.0244212
    7.88543e-7     0.023248
    8.69792e-7    0.0221299
    9.52693e-7    0.0211541
    1.03624e-6    0.0202741
    1.14301e-6    0.0192982
    1.25201e-6    0.0184332
    1.37134e-6    0.0176061
    1.51264e-6    0.0167554
    1.66849e-6     0.015948
    1.84041e-6    0.0151779
    2.01592e-6     0.014498
    2.23921e-6    0.0137504
    2.45275e-6    0.0131315
    2.68652e-6      0.01254
    2.94272e-6     0.011972
    3.24593e-6    0.0113909
    3.58038e-6    0.0108355
    3.94929e-6    0.0103081
    4.41767e-6   0.00973719
    4.87286e-6   0.00926235
    5.30017e-6   0.00887188
    5.76495e-6   0.00849685
    6.31441e-6   0.00810573
