#ZVView-data-copy:  29-Jan-2019 22:27:06
#=======================================
#
#name:   ENDF/B-VIII.0: MO-92(N,G)MO-93
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  15671
#data...
#            X            Y
#          MeV        barns
         1e-11        4.017
   1.10304e-11      3.82478
   1.21669e-11      3.64176
   1.34206e-11       3.4675
   1.48034e-11      3.30158
   1.63287e-11      3.14359
   1.80111e-11      2.99317
   1.98669e-11      2.84994
   2.19139e-11      2.71357
   2.41719e-11      2.58372
   2.66625e-11      2.46009
   2.94097e-11      2.34237
     3.244e-11      2.23029
   3.57825e-11      2.12357
   3.94694e-11      2.02195
   4.35362e-11       1.9252
   4.80221e-11      1.83308
   5.29701e-11      1.74536
    5.8428e-11      1.66185
   6.44483e-11      1.58233
   7.10888e-11      1.50661
   7.84136e-11      1.43452
   8.64931e-11      1.36587
   9.54051e-11      1.30052
   1.05235e-10      1.23829
   1.16078e-10      1.17903
   1.28039e-10      1.12261
   1.41231e-10       1.0689
   1.55784e-10      1.01775
   1.71835e-10     0.969048
    1.8954e-10     0.922679
    2.0907e-10     0.878528
   2.30612e-10     0.836489
   2.54374e-10     0.796462
   2.80584e-10     0.758351
   3.09494e-10     0.722063
   3.41383e-10     0.687512
   3.76558e-10     0.654614
   4.15358e-10      0.62329
   4.58155e-10     0.593465
   5.05362e-10     0.565067
   5.57433e-10     0.538028
   6.14869e-10     0.512283
   6.78223e-10      0.48777
   7.48105e-10     0.464429
   8.25188e-10     0.442206
   9.10213e-10     0.421046
      1.004e-9     0.400899
    1.10745e-9     0.381715
    1.22155e-9      0.36345
    1.34742e-9     0.346058
    1.48625e-9     0.329499
    1.63939e-9     0.313732
    1.80831e-9      0.29872
    1.99463e-9     0.284426
    2.20016e-9     0.270816
    2.42685e-9     0.257857
    2.67691e-9     0.245518
    2.95273e-9      0.23377
    3.25697e-9     0.222584
    3.59256e-9     0.211933
    3.96272e-9     0.201791
    4.37103e-9     0.192135
    4.82141e-9     0.182942
    5.31819e-9     0.174188
    5.86616e-9     0.165853
    6.47059e-9     0.157917
     7.1373e-9     0.150362
    7.87271e-9     0.143168
    8.68389e-9      0.13632
    9.57865e-9     0.129801
