#ZVView-data-copy:  29-Jan-2019 22:37:34
#=======================================
#
#name:   ENDF/B-VIII.0: CR-54(N,G)CR-55
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  21403
#data...
#            X            Y
#          MeV        barns
         1e-11      20.6767
   1.10304e-11      19.6873
   1.21669e-11      18.7452
   1.34206e-11      17.8483
   1.48034e-11      16.9942
   1.63287e-11       16.181
   1.80111e-11      15.4068
   1.98669e-11      14.6695
   2.19139e-11      13.9676
   2.41719e-11      13.2992
   2.66625e-11      12.6628
   2.94097e-11      12.0569
     3.244e-11        11.48
   3.57825e-11      10.9306
   3.94694e-11      10.4076
   4.35362e-11      9.90959
   4.80221e-11      9.43541
   5.29701e-11      8.98392
    5.8428e-11      8.55403
   6.44483e-11      8.14471
   7.10888e-11      7.75498
   7.84136e-11       7.3839
   8.64931e-11      7.03057
   9.54051e-11      6.69415
   1.05235e-10      6.37383
   1.16078e-10      6.06884
   1.28039e-10      5.77844
   1.41231e-10      5.50194
   1.55784e-10      5.23866
   1.71835e-10      4.98799
    1.8954e-10      4.74931
    2.0907e-10      4.52205
   2.30612e-10      4.30567
   2.54374e-10      4.09964
   2.80584e-10      3.90346
   3.09494e-10      3.71668
   3.41383e-10      3.53883
   3.76558e-10       3.3695
   4.15358e-10      3.20826
   4.58155e-10      3.05475
   5.05362e-10      2.90857
   5.57433e-10       2.7694
   6.14869e-10      2.63688
   6.78223e-10       2.5107
   7.48105e-10      2.39056
   8.25188e-10      2.27617
   9.10213e-10      2.16725
      1.004e-9      2.06355
    1.10745e-9      1.96481
    1.22155e-9      1.87079
    1.34742e-9      1.78127
    1.48625e-9      1.69603
    1.63939e-9      1.61488
    1.80831e-9       1.5376
    1.99463e-9      1.46403
    2.20016e-9      1.39397
    2.42685e-9      1.32727
    2.67691e-9      1.26376
    2.95273e-9      1.20329
    3.25697e-9      1.14571
    3.59256e-9      1.09089
    3.96272e-9      1.03869
    4.37103e-9     0.988984
    4.82141e-9      0.94166
    5.31819e-9       0.8966
    5.86616e-9     0.853697
    6.47059e-9     0.812847
     7.1373e-9     0.773952
    7.87271e-9     0.736917
    8.68389e-9     0.701656
    9.57865e-9     0.668082
    1.05656e-8     0.636115
    1.16543e-8     0.605681
    1.28551e-8     0.576706
    1.41796e-8     0.549122
    1.56406e-8     0.522864
    1.72522e-8     0.497868
    1.90298e-8     0.474071
    2.09906e-8      0.45141
    2.31534e-8     0.429828
    2.52419e-8     0.411671
       2.53e-8     0.411198
    2.79068e-8     0.391523
    3.07823e-8     0.372785
     3.3954e-8     0.354943
    3.74525e-8     0.337963
    4.13115e-8     0.321806
    4.55681e-8     0.306424
    5.02633e-8     0.291765
    5.54423e-8     0.277794
    6.11549e-8     0.264485
    6.74561e-8     0.251816
    7.44066e-8     0.239761
    8.20732e-8     0.228301
    9.05297e-8     0.217399
    9.98577e-8     0.207003
    1.10147e-7     0.197087
    1.21496e-7     0.187643
    1.34014e-7     0.178654
    1.47823e-7     0.170101
    1.63054e-7     0.161982
    1.79855e-7     0.154254
    1.98386e-7     0.146867
    2.18827e-7     0.139826
    2.41375e-7     0.133125
    2.66245e-7     0.126747
    2.93678e-7     0.120676
    3.23938e-7     0.114904
    3.57316e-7     0.109434
    3.94132e-7     0.104195
    4.34743e-7       0.0992
    4.79537e-7    0.0944456
    5.28947e-7    0.0899202
    5.83448e-7    0.0856125
    6.43565e-7    0.0815208
    7.14884e-7    0.0773703
    7.88543e-7    0.0736593
    8.69792e-7    0.0701272
    9.59413e-7    0.0667664
    1.05827e-6    0.0635669
    1.16731e-6    0.0605211
    1.28758e-6    0.0576217
    1.42025e-6    0.0548677
    1.58869e-6    0.0518851
    1.75239e-6    0.0493997
    1.93295e-6    0.0470325
    2.13211e-6    0.0447756
     2.3518e-6    0.0426311
    2.59412e-6    0.0405874
    2.84137e-6    0.0387838
    3.17835e-6    0.0366743
    3.50584e-6    0.0349186
    3.84017e-6    0.0333602
    4.23585e-6    0.0317557
     4.6723e-6    0.0302359
    5.15372e-6    0.0287844
    5.68474e-6    0.0274077
    6.31441e-6     0.026006
    6.91657e-6    0.0248461
     7.5758e-6     0.023739
    8.29826e-6    0.0226767
     9.2174e-6    0.0215123
    1.01671e-5    0.0204769
    1.12147e-5    0.0194944
    1.25448e-5    0.0184316
    1.38374e-5    0.0175486
    1.50508e-5    0.0168231
    1.63706e-5    0.0161269
    1.79318e-5     0.015401
    1.97794e-5     0.014662
    2.18174e-5    0.0139552
    2.38968e-5    0.0133377
    2.54525e-5     0.012918
    2.76845e-5     0.012381
    3.01122e-5    0.0118668
    3.27527e-5    0.0113734
    3.58744e-5    0.0108587
    3.95708e-5    0.0103352
    4.36481e-5   0.00983396
    4.74757e-5   0.00942954
    5.05663e-5   0.00912956
    5.50005e-5    0.0087471
    5.98236e-5   0.00838111
    6.50696e-5   0.00802995
    7.07757e-5    0.0076918
    7.80682e-5    0.0073155
    8.55089e-5   0.00698056
    9.23603e-5   0.00671395
    0.00010046   0.00642801
   0.000110034   0.00613339
   0.000119684   0.00587253
   0.000129273   0.00564232
   0.000139624   0.00542062
    0.00015294   0.00516718
   0.000167516   0.00492763
   0.000182206   0.00471509
    0.00020098   0.00447711
   0.000220147   0.00426581
   0.000239452   0.00407863
   0.000258625   0.00391337
   0.000279347   0.00375386
   0.000305931   0.00357175
   0.000335105   0.00339902
   0.000364178   0.00324711
   0.000401702   0.00307503
   0.000439988   0.00292209
   0.000478571   0.00278635
   0.000516917   0.00266627
   0.000555198    0.0025586
   0.000599684   0.00244616
    0.00066086   0.00231002
   0.000719802   0.00219461
   0.000802951   0.00205482
   0.000873363   0.00195098
   0.000948937   0.00185249
    0.00102497    0.0017642
    0.00110704   0.00167899
    0.00118439   0.00160654
    0.00127033   0.00153361
    0.00138173     0.001449
    0.00149093   0.00137544
    0.00159868    0.0013103
    0.00173968   0.00123386
    0.00189785   0.00115862
    0.00204991   0.00109442
    0.00219866   0.00103809
    0.00233581   0.00099091
     0.0024993  0.000940047
    0.00264336  0.000899164
     0.0028129  0.000855258
    0.00302309  0.000805891
    0.00323438  0.000761951
