#ZVView-data-copy:  30-Jan-2019 20:34:06
#=======================================
#
#name:   ENDF/B-VIII.0: XE-131(N,N`)XE-131-L5
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  32
#data...
#            X            Y
#          MeV        barns
      0.407929            0
           0.5     0.131079
           0.6     0.179281
           0.7     0.194177
           0.8      0.18488
           0.9     0.180929
             1     0.174296
           1.1     0.167167
           1.2     0.154346
           1.4     0.137858
           1.6     0.114701
             2    0.0851821
           2.6    0.0500636
             3    0.0329416
             4    0.0114217
             5   0.00340773
             6  0.000793896
             7  0.000190782
             8   4.74205e-5
             9   1.23715e-5
            10   3.41177e-6
            11   9.42085e-7
            12   2.80676e-7
            13   8.53331e-8
            14   2.81042e-8
          14.5   1.63971e-8
            15   9.61898e-9
            16   3.41075e-9
            17   1.24615e-9
            18  4.71655e-10
            19  1.84384e-10
            20  7.39571e-11
//
#-------------------------------------------------------------------------------
